Scan_ID,Subj_ID,Gender,Age1,Age2,Group,SubGrp,A_NoDoub_mean_abs,O_CenSpat_mean_abs,C_InconCon_mean_abs,A_NoDoub_mean_rate,O_CenSpat_mean_rate,C_InconCon_mean_rate,RT_Con_No_mean,RT_Con_Cent_mean,RT_Con_Doub_mean,RT_Con_Spat_mean,RT_Incon_No_mean,RT_Incon_Cent_mean,RT_Incon_Doub_mean,RT_Incon_Spat_mean,ACC_Con_No,ACC_Con_Cent,ACC_Con_Doub,ACC_Con_Spat,ACC_Incon_No,ACC_Incon_Cent,ACC_Incon_Doub,ACC_Incon_Spat,ACC_mean,RT_mean,RT_ACC,NoRespFreq,CleanFreq,CBDA_Ind_c1A_fdr0545,CBDA_Ind_c2O_fdr0545,CBDA_Ind_c3E_fdr0545
16-10-22.3CBDPC,132,1,8.5,9,CBDC,CBDPC,110.7917,62.1095,60.8628,151.039,8.1735,192.2182,734.4732,629.75,569.2589,554.1875,641.9375,699.9375,625.2857,678,0.9375,1,0.9375,1,0.75,1,0.875,0.6875,0.89844,645.3978111,714.1309242,0.052083,0.1,4.09E-01,-5.18E-01,1.08E-01
16-11-12.1CBDHC,1,2,9.84,10,CBDC,CBDHC,23.0335,58.3985,41.5384,39.9815,41.0911,46.142,731.1875,671.325,687.3125,686.8214,748.0804,757.3125,758.0714,698.8958,1,0.8125,1,0.9375,0.9375,1,0.9375,0.875,0.9375,715.2229444,765.2008667,0.057292,0.0625,6.94E-02,-1.91E-01,-4.00E-01
16-11-13.1CBDPC,133,2,7.7,8,CBDC,CBDPC,46.0725,15.377,62.967,34.4313,91.9166,153.5774,619.9375,599.6875,591.9464,570.9375,700.1429,681.2,647.6339,615.9821,1,1,0.9375,1,0.875,0.75,0.9375,0.9375,0.92969,625.2464222,675.9602394,0.036458,0.075,1.92E-01,-5.51E-01,1.92E-01
16-11-13.3CBDPC,135,1,12.45,12,CBDC,CBDPC,43.8578,29.865,85.5837,55.4807,9.2894,94.4692,486.8125,477.8125,499.875,446.6875,563.0625,568.5,527.1875,543.2054,1,1,1,1,1,1,1,0.9375,0.99219,513.9603222,518.1899258,0.010417,0.025,5.49E-01,4.50E-01,2.18E-01
16-11-19.1CBDPC,136,1,8.46,8,CBDC,CBDPC,83.1866,97.4518,36.5167,40.2671,0.32687,194.17,666.3125,613.3125,578.6429,573.5,719,693.2857,612.2714,563.7917,1,1,0.875,0.875,0.8125,0.875,0.75,0.625,0.85156,622.7907444,736.9000276,0.083333,0.14063,4.75E-01,5.87E-01,-4.42E-01
16-11-20.1CBDPC,140,1,8.02,8,CBDC,CBDPC,44.3617,39.3326,75.7718,103.864,164.3031,179.0365,684.6429,694.3571,666.5714,688.4583,813.9,785.125,717.2143,708.5625,0.9375,0.8125,0.9375,0.875,0.6875,0.625,0.875,1,0.84375,718.6757222,853.1602222,0.078125,0.1375,2.19E-01,-2.61E-01,-1.09E-01
16-11-20.2CBDHC,7,2,10.86,11,CBDC,CBDHC,52.6737,32.0025,82.2434,42.4574,-12.9767,64.2515,640.4554,659.5089,598.75,610.619,743,705.0625,663.0982,687.2738,0.9375,0.9375,0.9375,0.8125,1,1,0.9375,0.8125,0.92188,668.0575333,719.6934254,0.057292,0.084375,1.26E-01,-8.89E-02,9.07E-03
16-11-20.2CBDPC,141,1,10.17,10,CBDC,CBDPC,33.6496,80.8712,24.448,235.3986,115.7964,-43.801,711.75,749.5595,680.3167,625.1,760.7679,741.6964,704.6548,675.7708,0.5625,0.8125,0.6875,0.6875,0.6875,0.6875,0.8125,0.875,0.72656,700.1517889,971.9803079,0.23958,0.26875,-4.16E-01,1.35E-01,-3.63E-01
16-11-26.1CBDPC,144,1,8.89,9,CBDC,CBDPC,100.2077,19.5293,25.5729,68.5558,22.4484,-27.1243,754.6429,677.5,601.75,667,777.5714,695.7679,662.2143,678.625,0.9375,0.875,0.75,0.875,0.875,0.9375,0.875,0.9375,0.88281,687.2579444,780.897291,0.098958,0.10938,-2.78E-01,-4.22E-01,3.57E-01
16-11-26.2CBDPC,145,1,8.77,9,CBDC,CBDPC,33.1021,37.0565,53.0239,259.0457,219.0024,43.0501,692.5,657.25,619.2,626,750.4167,680.2143,724.9286,658.125,0.5,0.75,0.6875,0.875,0.4375,0.75,0.875,0.875,0.71875,671.9038444,940.6321043,0.26042,0.28125,3.20E-01,2.75E-01,1.40E-01
