Scan_ID,Subj_ID,Gender,Age1,Age2,Group,SubGrp,A_NoDoub_mean_abs,O_CenSpat_mean_abs,C_InconCon_mean_abs,A_NoDoub_mean_rate,O_CenSpat_mean_rate,C_InconCon_mean_rate,RT_Con_No_mean,RT_Con_Cent_mean,RT_Con_Doub_mean,RT_Con_Spat_mean,RT_Incon_No_mean,RT_Incon_Cent_mean,RT_Incon_Doub_mean,RT_Incon_Spat_mean,ACC_Con_No,ACC_Con_Cent,ACC_Con_Doub,ACC_Con_Spat,ACC_Incon_No,ACC_Incon_Cent,ACC_Incon_Doub,ACC_Incon_Spat,ACC_mean,NoRespFreq,CleanFreq
17-05-28.2CBDPA,9,1,20.14,20,CBDA,CBDPA,60.3614,-37.8207,34.5208,50.6478,-17.6713,50.9901,505.8125,468.5625,482.875,477.5,586.375,466.7143,482.4375,558.0625,1,1,1,1,1,0.875,1,1,0.98438,0.010417,0.03125
17-07-02.1CBDHA,69,1,20.1,20,CBDA,CBDHA,66.077,15.4284,66.394,78.2783,26.832,84.3302,550.1875,484.5,457.9375,480.5625,571.7768,586.4375,563.4375,532.6875,1,1,1,1,0.9375,0.9375,1,1,0.98438,0.010417,0.028125
17-06-17.2CBDHA,41,2,21.46,21,CBDA,CBDHA,85.6341,19.8596,30.2742,76.687,19.8596,37.3522,476.875,395.0625,383.5,382.0625,506.8125,416.25,441.8125,375,1,1,1,1,1,1,0.9375,1,0.99219,0,0.0125
17-06-04.1CBDHA,20,2,20.96,21,CBDA,CBDHA,56.4031,20.9646,44.4355,70.3766,8.7788,35.4792,605.9196,546.75,555.5625,525.3125,655.9375,580.3125,592,591,0.9375,1,1,1,1,1,1,1,0.99219,0.010417,0.028125
17-09-24.1CBDHA,79,2,20.81,21,CBDA,CBDHA,91.7862,-10.5411,17.6993,202.9633,20.2792,-19.3719,702.2917,629.6429,586.2857,609.9286,678.0714,639.7946,627.625,614.4643,0.875,0.875,0.875,0.875,0.875,0.9375,0.9375,0.9375,0.89844,0.067708,0.11875
17-06-17.1CBDHA,40,2,21.35,21,CBDA,CBDHA,46.1286,12.6495,30.8659,57.4368,2.6608,23.2275,507.375,498.75,494.6875,434.7857,549.125,494.9375,500.8125,516.0625,1,1,1,0.9375,1,1,1,1,0.99219,0.010417,0.0125
17-06-24.1CBDHA,52,2,20.91,21,CBDA,CBDHA,7.6734,20.4368,39.4591,7.8924,21.3253,90.3464,442.0625,494.375,456.75,454.6875,546.9018,501.8571,480.4107,487.5,1,1,1,1,0.9375,0.875,0.9375,0.875,0.95313,0,0.0625
17-09-17.1CBDHA,75,2,20.54,21,CBDA,CBDHA,34.7629,0.17754,30.4538,46.1213,-9.7024,47.6843,496.3304,460.75,450,473,508.625,494.375,484.3929,516.8214,0.9375,1,1,1,0.9375,1,0.9375,0.9375,0.96875,0.0052083,0.034375
17-06-30.4CBDHA,63,1,20.6,21,CBDA,CBDHA,68.9253,25.8719,-3.4377,-0.67758,-13.5127,-11.1165,669.8571,590.375,565.4821,602.5417,618.8393,598.875,597.8958,573.3125,0.9375,1,0.9375,0.875,0.9375,1,0.875,1,0.94531,0.046875,0.075
17-07-01.1CBDHA,65,1,21.45,21,CBDA,CBDHA,71.5217,37.5175,62.743,71.5217,13.8873,82.9274,569.8125,582.75,561.125,551.375,673.625,649.125,594.9375,619.375,1,1,1,1,1,1,1,0.875,0.98438,0.0052083,0.025
17-09-17.4CBDHA,78,2,21.82,22,CBDA,CBDHA,28.6784,-0.94746,-5.3165,41.1038,-12.2839,-14.1667,598.5,492.25,554.0625,563.375,573.625,561.6875,539.1875,527.375,0.9375,1,1,1,1,1,1,1,0.99219,0,0.0125
17-06-15.3CBDHA,38,2,21.89,22,CBDA,CBDHA,10.5489,25.8125,22.0559,21.6018,25.8125,30.3156,497.9375,520.9375,507.625,489.5,563.8036,527.9375,518.5625,496.0625,1,1,1,1,0.9375,1,1,1,0.99219,0,0.015625
17-07-02.3CBDHA,71,1,21.59,22,CBDA,CBDHA,45.9429,22.865,44.44,33.3505,-4.4062,35.1663,679.2946,627.0625,651.2679,613.1696,718.0714,692.25,663.3839,674.625,0.9375,1,0.9375,0.9375,0.9375,1,0.9375,1,0.96094,0.036458,0.0375
17-07-01.2CBDHA,66,2,21.67,22,CBDA,CBDHA,61.3939,30.5634,48.1451,89.051,55.847,39.7338,572.7083,569.75,557.4375,522.5,638.5625,606.7411,566.3125,602.0625,0.875,1,1,1,1,0.9375,1,1,0.97656,0.020833,0.028125
17-06-15.4CBDHA,39,2,21.58,22,CBDA,CBDHA,36.394,-0.59503,89.6742,63.6313,10.9929,103.0059,571.2143,538.6875,513.5,528.5,625.1429,615.0089,626.625,624,0.875,1,1,1,0.9375,0.9375,0.9375,1,0.96094,0.015625,0.040625
17-06-25.3CBDPA,23,2,22.29,22,CBDA,CBDPA,4.087,-10.4516,87.8189,-6.5482,-21.0516,83.264,473.9375,428.4375,419.8571,435.0804,514.1071,519.0357,577.1875,484.6875,1,1,0.875,0.9375,0.9375,0.9375,1,1,0.96094,0.020833,0.053125
17-06-23.1CBDHA,48,2,22.02,22,CBDA,CBDHA,28.2853,-4.8667,41.3819,94.0727,-22.3733,21.9193,665.3333,603,622.5714,552.0857,700.6667,617.6429,681.4286,615.75,0.75,0.875,0.875,0.75,0.8125,0.875,0.8125,0.875,0.82813,0.13542,0.16875
17-06-23.3CBDHA,50,2,22.09,22,CBDA,CBDHA,98.7962,48.375,47.1467,98.7962,48.375,47.1467,653.5,558.5625,538.4375,512.6875,646.8125,595.5625,597.125,585.6875,1,1,1,1,1,1,1,1,1,0,0.009375
17-07-02.1CBDPA,30,1,21.67,22,CBDA,CBDPA,-0.8631,71.6149,17.1696,49.6371,178.0346,89.055,630.425,659.9,613.1833,604.25,637.5,658.3333,714.2,591,0.5625,0.5625,0.6875,0.5625,0.5,0.625,0.5,0.625,0.57813,0.4375,0.43125
17-06-25.1CBDHA,56,2,21.82,22,CBDA,CBDHA,13.7418,61.4284,62.0171,25.2333,61.4284,71.027,491.5,501,488.5625,417,569.8214,530.5,525.5,497.5625,1,1,1,1,0.9375,1,1,1,0.99219,0,0.0125
17-06-30.3CBDHA,62,1,22.21,22,CBDA,CBDHA,42.5939,17.6,25.3558,31.3171,59.5735,72.9122,654.5625,627.6875,617.7292,617.125,654.2083,699.7619,643.4821,629.25,1,1,0.875,1,0.875,0.8125,0.9375,1,0.9375,0.020833,0.053125
17-06-15.2CBDHA,37,2,21.56,22,CBDA,CBDHA,17.6027,61.7953,51.5242,17.6719,61.7953,52.0645,521.0804,512.875,537.25,454.25,568.5625,576.9375,540.2232,531.3125,0.9375,1,1,1,1,1,0.9375,1,0.98438,0.0052083,0.0375
17-05-29.1CBDHA,13,2,22.07,22,CBDA,CBDHA,21.8923,25.1948,37.0687,55.634,48.2456,72.2079,503.25,512.4375,473,533.875,568.9732,543.369,553.4375,473.4375,1,1,1,1,0.9375,0.8125,1,1,0.96875,0.020833,0.04375
17-06-30.2CBDHA,61,1,22.39,22,CBDA,CBDHA,1.5249,-1.2391,31.1215,24.7852,-12.2467,40.521,515.3571,517.625,496.3125,522.4375,508.6071,567.4375,568.5625,508.5625,0.9375,1,1,1,0.9375,1,1,0.9375,0.97656,0.010417,0.040625
17-06-24.1CBDPA,18,1,21.6,22,CBDA,CBDPA,18.9943,67.2173,37.3292,20.1927,24.4894,38.9969,668.7946,640,626.6875,584.2054,683.5179,683,672.7679,631.1875,0.9375,1,1,0.9375,0.9375,1,0.9375,1,0.96875,0.036458,0.034375
17-05-29.3CBDPA,12,2,22.05,22,CBDA,CBDPA,27.6819,21.405,21.6244,50.6087,12.6309,21.7484,490.6875,447.5625,452.0625,436.1875,508.8661,473.8125,475.9375,446.9821,0.875,1,1,1,0.9375,1,1,0.9375,0.96875,0.036458,0.04375
17-05-20.1CBDPA,1,2,21.98,22,CBDA,CBDPA,20.792,29.2898,39.6688,-19.427,20.7087,79.511,450.5,434.4375,430.625,407.1875,491.75,463.125,492.7143,431.6458,1,1,1,1,1,1,0.8125,0.875,0.96094,0.020833,0.04375
17-05-28.2CBDHA,10,2,22.47,22,CBDA,CBDHA,56.6667,27.3822,86.7621,56.6667,27.3822,86.7621,549.9375,482,500.4375,485.9375,624.375,608.4375,560.8125,547.125,1,1,1,1,1,1,1,1,1,0,0.009375
17-05-21.1CBDPA,5,1,21.68,22,CBDA,CBDPA,80.4725,25.4248,19.6571,70.6434,13.7377,-16.584,653.3393,519.9375,521.6429,505.7232,591.125,566.5625,574.0625,539.4375,0.9375,1,0.875,0.9375,1,1,1,1,0.96875,0.020833,0.034375
17-05-21.3CBDHA,7,2,23.15,23,CBDA,CBDHA,57.2161,36.8674,36.5462,73.6083,64.9046,36.6273,626.1339,591.5,578.8125,568.5,648.5625,653.2054,631,594.0625,0.9375,1,1,1,1,0.9375,1,1,0.98438,0.010417,0.034375
17-07-01.1CBDPA,25,1,22.87,23,CBDA,CBDPA,32.7466,59.9832,10.2137,-9.182,87.6683,30.9721,592.1875,582.5179,558.4167,539,609.7024,593.3125,560.2857,539.75,1,0.9375,0.875,1,0.8125,1,0.875,1,0.9375,0.067708,0.08125
17-06-30.1CBDHA,60,1,22.83,23,CBDA,CBDHA,42.5806,12.3976,28.817,42.5806,12.3976,28.817,488.875,436.875,436.6875,474,493.8125,498.5625,481.75,469.625,1,1,1,1,1,1,1,1,1,0,0.01875
17-05-21.2CBDHA,6,1,23.47,23,CBDA,CBDHA,82.2728,46.8477,82.1303,72.9417,65.0842,114.1991,576.4375,566.1875,489.5,527.0536,607.8304,632.6875,583.1667,613.625,1,1,1,0.9375,0.9375,0.9375,0.875,1,0.96094,0.036458,0.05625
17-06-03.4CBDHA,19,2,22.79,23,CBDA,CBDHA,86.4103,58.6123,41.0081,98.295,58.6123,49.174,511.5625,471.0625,423.5,399.9375,559.1429,489.25,474.125,450,1,1,1,1,0.9375,1,1,1,0.99219,0.0052083,0.015625
17-05-21.2CBDPA,6,2,23.13,23,CBDA,CBDPA,49.9753,3.4783,91.8208,40.7115,3.3979,116.758,454,399.5,415.5625,397.125,538,483.8304,511.1518,474.1607,1,1,1,1,1,0.9375,0.9375,0.9375,0.97656,0.0052083,0.046875
17-05-21.3CBDPA,7,1,23.02,23,CBDA,CBDPA,51.4909,30.0897,51.9435,62.6337,9.8137,61.1272,514.0089,483.4375,447.25,448.1875,531.1875,540,523.9375,501.5,0.9375,1,1,1,1,1,1,0.875,0.97656,0.015625,0.01875
